"","route","2012","2013","2014","2015","2016","2017","2018"
"144","992",NA,NA,NA,NA,1,NA,NA
"145","999",NA,NA,NA,NA,2,NA,NA
"146","J14",465264,3920435,3546433,3455861,3296029,3193752,763710
"147","N201",14020,NA,NA,NA,NA,NA,NA
"148","R22",NA,410370,NA,NA,NA,NA,NA
"149","R39",NA,2569,NA,NA,NA,NA,NA
"150","R55",NA,107556,NA,NA,NA,NA,NA
"151","R63",NA,1014963,NA,NA,NA,NA,NA
"152","R69",NA,239755,NA,NA,NA,NA,NA
"153","R79",NA,545061,NA,NA,NA,NA,NA
"154","R87",NA,419746,NA,NA,NA,NA,NA
"155","R95",NA,1474310,NA,NA,NA,NA,NA
"156","X28",1066166,NA,NA,NA,NA,NA,NA
"157","X49",NA,NA,NA,27808,1599849,1649853,406257
"158","X9",NA,NA,NA,36916,2075111,2095483,521340
"159","X98",43621,13820,4261,3956,3282,5843,852
